year,price,mileage
2019,"22,953","41,706"
2023,"30,798","36,517"
2023,"28,489","46,231"
2022,"23,189","58,206"
2023,"41,553","5,794"
2019,"22,519","73,319"
2021,"31,422","36,957"
2022,"26,990","62,737"
2017,"23,990","55,523"
2023,"41,450","17,529"
2024,"47,000","9,691"
2022,"28,398","53,609"
2022,"36,990","40,301"
2020,"32,590","31,983"
2022,"33,491","74,530"
2022,"24,489","55,502"
2017,"19,341","74,202"
2021,"25,969","57,361"
2022,"31,563","22,962"
2023,"52,995",275
2023,"30,191","48,201"
2021,"25,269","58,874"
2018,"23,498","58,140"
2022,"27,299","21,339"
2009,"9,999","170,240"
2023,"30,798","39,398"
2021,"26,074","49,205"
2023,"41,200","16,054"
2024,"33,789","15,546"
2018,"19,990","150,951"
2022,"32,698","53,812"
2009,"5,041","195,319"
2023,"29,998","43,359"
2024,"31,988","12,886"
2022,"28,398","51,416"
2015,"15,298","149,934"
2021,"31,613","76,628"
2017,"23,492","81,794"
2022,"28,398","54,491"
2016,"16,598","99,218"
2020,"24,498","59,150"
2023,"30,684","23,484"
2024,"34,290","14,194"
2023,"30,798","39,941"
2022,"31,790","27,123"
2024,"33,489","14,410"
2023,"30,798","36,298"
2022,"29,490","61,722"
2022,"29,876","33,221"
2023,"30,498","41,797"
2017,"19,297","63,180"
2022,"25,239","57,146"
2021,"27,298","36,653"
2018,"16,699","124,729"
2018,"22,174","85,019"
2022,"26,991","83,589"
2022,"28,398","55,848"
2020,"26,998","51,073"
2023,"42,697","29,505"
2022,"38,586","18,011"
2020,"33,205","45,837"
2021,"30,692","62,900"
2023,"29,998","42,330"
2014,"16,991","148,533"
2021,"32,587","18,393"
2022,"29,490","63,005"
2022,"32,599","19,919"
2022,"33,301","19,585"
2013,"14,498","135,707"
2022,"36,254","39,278"
2023,"38,041","57,563"
2022,"25,999","39,855"
2011,"8,899","182,467"
2016,"15,861","122,075"
2023,"34,291","18,016"
2024,"32,798","4,078"
2021,"28,555","53,906"
2021,"27,998","26,462"
2023,"30,498","40,886"
2022,"28,398","55,123"
2022,"27,190","56,371"
2024,"34,998","31,617"
2021,"25,000","88,773"
2022,"26,787","57,219"
2024,"32,591","34,798"
2012,"9,500","186,545"
2023,"39,600","12,674"
2023,"30,798","37,728"
2021,"24,189","54,653"
2017,"18,995","107,751"
2019,"22,589","78,794"
2023,"34,798","47,918"
2024,"35,798","25,188"
2021,"26,099","73,067"
2023,"38,490","23,416"
2020,"29,300","39,939"
2022,"31,847","35,167"
2024,"31,398","33,450"
2024,"47,092","28,471"
2022,"27,398","58,218"
2020,"23,500","58,876"
2011,"12,500","134,568"
2023,"31,573","47,218"
2023,"30,950","22,541"
2021,"22,571","87,481"
2022,"30,797","28,268"
2023,"30,799","33,662"
2022,"25,589","56,680"
2023,"30,999","35,333"
2022,"26,789","55,160"
2022,"26,990","62,396"
2023,"30,798","39,293"
2021,"28,999","60,958"
2011,"8,499","183,288"
2022,"31,491","30,395"
2021,"28,000","65,841"
2021,"24,900","69,870"
2018,"20,690","89,082"
2023,"30,798","35,548"
2024,"32,680","33,769"
2021,"32,920","25,366"
2023,"29,160","24,579"
2022,"33,000","20,455"
2023,"30,799","36,318"
2022,"25,039","59,896"
2021,"27,500","28,024"
2014,"16,988","69,552"
2022,"26,798","57,072"
2021,"31,777","21,717"
2011,"10,645","129,761"
2018,"24,999","51,578"
2014,"12,790","141,220"
2016,"15,495","98,300"
2022,"26,389","52,598"
2023,"30,498","41,588"
2022,"25,189","58,680"
2021,"30,398","31,293"
2022,"29,990","57,393"
2021,"22,871","75,993"
2023,"33,999","8,688"
2023,"30,799","33,662"
2012,"8,630","230,676"
2022,"25,989","56,951"
2023,"31,295","18,689"
2024,"34,821","16,764"
2022,"23,989","59,841"
2024,"34,389","17,477"
2023,"34,398","44,542"
2023,"27,498","33,436"
2023,"30,999","37,460"
2022,"32,495","33,346"
2023,"30,498","41,109"
2021,"25,980","39,879"
